protein_id	pep_num	F163	F164	F165	F166	F167	F168	F169
Pp1s276_86V6.1	3	513995	518337	574749	827886	797465	640689	759979
Pp1s277_34V6.1	1	130620	116152	123451	67658	63749	36899	61552
Pp1s27_130V6.1	2	1582295	1744569	1610276	1033059	1012577	1064838	978497
Pp1s27_256V6.1	1	94409	106812	114353	68066	67424	39245	43607
Pp1s27_266V6.1	1	37075	46852	159115	32152	35051	35062	38015
Pp1s27_97V6.1	2	6585707	4129174	2404740	1770886	1861507	1531830	1701848
Pp1s284_6V6.1	1	518989	388030	673113	182416	244553	217555	212387
Pp1s286_14V6.1	3	419446	416124	375313	310901	321727	290255	320528
Pp1s287_61V6.2	2	6286070	7521892	5322894	3138131	3205571	3646999	2901044
Pp1s28_231V6.1	1	222132	208800	164550	172590	142864	87442	148707
Pp1s28_268V6.1	1	75741	106503	122821	105369	111517	91861	113940
Pp1s28_304V6.1	3	2166008	2419176	2436748	1125047	1156224	1079721	1026519
Pp1s28_391V6.1	1	124961	102263	162949	33828	31494	19698	42979
Pp1s290_40V6.1	3	607790	642865	643001	695306	607991	478231	680088
Pp1s291_38V6.1	1	344976	395667	550207	313932	360205	263986	359145
Pp1s291_43V6.1	3	1921373	1733424	1707526	1525856	1473799	1227056	1466709
Pp1s291_44V6.1	2	613507	690974	642024	456651	433135	305518	333330
Pp1s292_64V6.1	3	608805	808057	1171212	405995	447507	299982	352955
Pp1s295_46V6.1	3	242986	240709	334516	269102	327318	266902	274845
Pp1s295_55V6.1	2	358974	301034	279369	120964	119960	129673	136921
Pp1s2_195V6.1	1	45747	48318	47732	30801	30455	27949	29844
Pp1s2_62V6.1	3	694037	725837	638530	424844	403543	305390	354942
Pp1s300_1V6.1	3	1336888	1752196	1448145	1468623	1525877	1265078	1166199
Pp1s303_24V6.1	3	414252	436037	431857	156494	162909	130183	175381
Pp1s303_55V6.1	1	225641	202590	214570	170843	144161	132011	184746
Pp1s306_84V6.1	2	30578929	28294391	29371197	15203840	15348623	12354092	12963781
Pp1s307_64V6.1	2	177729	252100	335164	219576	229149	200745	243289
Pp1s307_65V6.1	1	28897	34852	22074	49038	65445	42601	68109
Pp1s309_84V6.1	1	500201	454478	456104	350678	328642	372793	311928
