Gene	pd_id
Pp1s101_65V6.1	PHYPADRAFT_166006
Pp1s101_66V6.1	PHYPADRAFT_166007
Pp1s101_67V6.1	PHYPADRAFT_187084
Pp1s101_67V6.2	PHYPADRAFT_187084
Pp1s101_67V6.3	PHYPADRAFT_187084
Pp1s101_71V6.1	PHYPADRAFT_82168
Pp1s101_73V6.1	PHYPADRAFT_187089
Pp1s101_74V6.1	PHYPADRAFT_187092
Pp1s101_74V6.2	PHYPADRAFT_187092
Pp1s101_76V6.1	PHYPADRAFT_166011
Pp1s101_78V6.1	PHYPADRAFT_82172
Pp1s101_79V6.1	PHYPADRAFT_166012
Pp1s101_80V6.1	PHYPADRAFT_133226
Pp1s101_82V6.1	PHYPADRAFT_133109
Pp1s101_86V6.1	PHYPADRAFT_82178
Pp1s101_8V6.1	PHYPADRAFT_214404
Pp1s101_94V6.1	PHYPADRAFT_166015
Pp1s101_94V6.2	PHYPADRAFT_166015
Pp1s101_94V6.3	PHYPADRAFT_166015
Pp1s101_95V6.1	PHYPADRAFT_133197
Pp1s101_95V6.2	PHYPADRAFT_133197
Pp1s101_95V6.3	PHYPADRAFT_133197
Pp1s101_95V6.4	PHYPADRAFT_133197
Pp1s101_96V6.1	PHYPADRAFT_82182
Pp1s101_99V6.1	PHYPADRAFT_82183
Pp1s101_9V6.1	PHYPADRAFT_48417
Pp1s10201_1V6.1	PHYPADRAFT_104254
Pp1s1020_4V6.1	PHYPADRAFT_102998
Pp1s10261_1V6.1	PHYPADRAFT_158376
Pp1s102_100V6.1	PHYPADRAFT_106848
Pp1s102_101V6.1	PHYPADRAFT_133341
Pp1s102_102V6.1	PHYPADRAFT_133341
Pp1s102_105V6.1	PHYPADRAFT_133380
Pp1s102_106V6.1	PHYPADRAFT_82332
Pp1s102_107V6.1	PHYPADRAFT_166091
Pp1s102_114V6.1	PHYPADRAFT_82337
Pp1s102_115V6.1	PHYPADRAFT_82338
Pp1s102_117V6.1	PHYPADRAFT_82339
Pp1s102_120V6.1	PHYPADRAFT_166092
Pp1s102_120V6.2	PHYPADRAFT_166092
Pp1s102_126V6.1	PHYPADRAFT_133289
Pp1s102_126V6.2	PHYPADRAFT_133289
Pp1s102_128V6.1	PHYPADRAFT_82344
Pp1s102_12V6.1	PHYPADRAFT_133334
Pp1s102_130V6.1	PHYPADRAFT_166095
Pp1s102_133V6.1	PHYPADRAFT_187235
Pp1s102_135V6.1	PHYPADRAFT_133395
Pp1s102_135V6.2	PHYPADRAFT_133395
Pp1s102_135V6.3	PHYPADRAFT_133395
Pp1s102_135V6.4	PHYPADRAFT_133395
Pp1s102_136V6.1	PHYPADRAFT_166098
Pp1s102_138V6.1	PHYPADRAFT_187242
Pp1s102_139V6.1	PHYPADRAFT_214589
Pp1s102_140V6.1	PHYPADRAFT_166102
Pp1s102_140V6.2	PHYPADRAFT_166102
Pp1s102_141V6.1	PHYPADRAFT_166103
Pp1s102_143V6.1	PHYPADRAFT_82357
Pp1s102_147V6.1	PHYPADRAFT_133373
Pp1s102_148V6.1	PHYPADRAFT_166104
Pp1s102_14V6.1	PHYPADRAFT_133389
Pp1s102_150V6.1	PHYPADRAFT_33525
Pp1s102_154V6.1	PHYPADRAFT_166108
Pp1s102_155V6.1	PHYPADRAFT_14712
Pp1s102_15V6.1	PHYPADRAFT_82283
Pp1s102_164V6.1	PHYPADRAFT_82374
Pp1s102_165V6.1	PHYPADRAFT_82375
Pp1s102_167V6.1	PHYPADRAFT_82376
Pp1s102_16V6.1	PHYPADRAFT_82284
Pp1s102_16V6.2	PHYPADRAFT_82284
Pp1s102_176V6.1	PHYPADRAFT_166110
Pp1s102_176V6.2	PHYPADRAFT_166110
Pp1s102_179V6.1	PHYPADRAFT_82380
Pp1s102_17V6.1	PHYPADRAFT_133347
Pp1s102_180V6.1	PHYPADRAFT_82380
Pp1s102_181V6.1	PHYPADRAFT_39070
Pp1s102_189V6.1	PHYPADRAFT_166114
Pp1s102_189V6.2	PHYPADRAFT_166114
Pp1s102_190V6.1	PHYPADRAFT_166115
Pp1s102_194V6.1	PHYPADRAFT_133386
Pp1s102_194V6.2	PHYPADRAFT_133386
Pp1s102_196V6.1	PHYPADRAFT_187264
Pp1s102_201V6.1	PHYPADRAFT_82395
Pp1s102_20V6.1	PHYPADRAFT_187197
Pp1s102_210V6.1	PHYPADRAFT_58400
Pp1s102_217V6.1	PHYPADRAFT_12607
Pp1s102_32V6.1	PHYPADRAFT_166073
Pp1s102_32V6.2	PHYPADRAFT_166073
Pp1s102_33V6.1	PHYPADRAFT_166073
Pp1s102_34V6.1	PHYPADRAFT_82293
Pp1s102_35V6.1	PHYPADRAFT_133320
Pp1s102_3V6.1	PHYPADRAFT_82278
Pp1s102_47V6.1	PHYPADRAFT_82297
Pp1s102_49V6.1	PHYPADRAFT_133364
Pp1s102_59V6.1	PHYPADRAFT_187201
Pp1s102_5V6.1	PHYPADRAFT_82279
Pp1s102_61V6.1	PHYPADRAFT_82305
Pp1s102_63V6.1	PHYPADRAFT_187205
Pp1s102_66V6.1	PHYPADRAFT_133332
Pp1s102_67V6.1	PHYPADRAFT_214555
Pp1s102_71V6.1	PHYPADRAFT_58387
Pp1s102_71V6.2	PHYPADRAFT_58387
Pp1s102_74V6.1	PHYPADRAFT_133330
Pp1s102_81V6.1	PHYPADRAFT_166082
Pp1s102_81V6.2	PHYPADRAFT_166082
Pp1s102_82V6.1	PHYPADRAFT_166083
Pp1s102_86V6.1	PHYPADRAFT_82319
Pp1s102_87V6.1	PHYPADRAFT_82320
Pp1s102_87V6.2	PHYPADRAFT_82320
Pp1s102_87V6.3	PHYPADRAFT_82320
Pp1s102_87V6.4	PHYPADRAFT_82320
Pp1s102_87V6.5	PHYPADRAFT_82320
Pp1s102_88V6.1	PHYPADRAFT_166085
Pp1s102_90V6.1	PHYPADRAFT_166086
Pp1s102_90V6.2	PHYPADRAFT_166086
Pp1s102_92V6.1	PHYPADRAFT_82323
Pp1s102_93V6.1	PHYPADRAFT_82324
Pp1s102_94V6.1	PHYPADRAFT_133316
Pp1s10334_1V6.1	PHYPADRAFT_104261
Pp1s10358_1V6.1	PHYPADRAFT_104263
Pp1s10390_1V6.1	PHYPADRAFT_104268
Pp1s103_103V6.1	PHYPADRAFT_82469
Pp1s103_109V6.1	PHYPADRAFT_82471
Pp1s103_117V6.1	PHYPADRAFT_133433
Pp1s103_117V6.2	PHYPADRAFT_133433
Pp1s103_117V6.3	PHYPADRAFT_133433
Pp1s103_117V6.4	PHYPADRAFT_133433
Pp1s103_118V6.1	PHYPADRAFT_133404
Pp1s103_119V6.1	PHYPADRAFT_166146
Pp1s103_120V6.1	PHYPADRAFT_187310
Pp1s103_129V6.1	PHYPADRAFT_187312
Pp1s103_12V6.1	PHYPADRAFT_166119
Pp1s103_132V6.1	PHYPADRAFT_82490
Pp1s103_132V6.2	PHYPADRAFT_82490
Pp1s103_132V6.3	PHYPADRAFT_82490
Pp1s103_133V6.1	PHYPADRAFT_82491
Pp1s103_134V6.1	PHYPADRAFT_82491
Pp1s103_135V6.1	PHYPADRAFT_166149
Pp1s103_139V6.1	PHYPADRAFT_82493
Pp1s103_13V6.1	PHYPADRAFT_187270
Pp1s103_145V6.1	PHYPADRAFT_82495
Pp1s103_148V6.1	PHYPADRAFT_82497
Pp1s103_154V6.1	PHYPADRAFT_133400
Pp1s103_154V6.2	PHYPADRAFT_133400
Pp1s103_155V6.1	PHYPADRAFT_82500
Pp1s103_18V6.1	PHYPADRAFT_82414
Pp1s103_18V6.2	PHYPADRAFT_82414
Pp1s103_21V6.1	PHYPADRAFT_133430
Pp1s103_23V6.1	PHYPADRAFT_214617
Pp1s103_23V6.2	PHYPADRAFT_214617
Pp1s103_24V6.1	PHYPADRAFT_187280
Pp1s103_26V6.1	PHYPADRAFT_82421
Pp1s103_27V6.1	PHYPADRAFT_82422
Pp1s103_29V6.1	PHYPADRAFT_166126
Pp1s103_29V6.2	PHYPADRAFT_166126
Pp1s103_35V6.1	PHYPADRAFT_133419
Pp1s103_36V6.1	PHYPADRAFT_82427
Pp1s103_41V6.1	PHYPADRAFT_82429
Pp1s103_43V6.1	PHYPADRAFT_133424
Pp1s103_49V6.1	PHYPADRAFT_17425
Pp1s103_49V6.2	PHYPADRAFT_17425
Pp1s103_56V6.1	PHYPADRAFT_49319
Pp1s103_62V6.2	PHYPADRAFT_133406
Pp1s103_63V6.1	PHYPADRAFT_214625
Pp1s103_64V6.1	PHYPADRAFT_82441
Pp1s103_65V6.1	PHYPADRAFT_47533
Pp1s103_74V6.1	PHYPADRAFT_133481
Pp1s103_75V6.1	PHYPADRAFT_133479
Pp1s103_77V6.1	PHYPADRAFT_133418
Pp1s103_79V6.1	PHYPADRAFT_166136
Pp1s103_79V6.2	PHYPADRAFT_166136
Pp1s103_80V6.1	PHYPADRAFT_82453
Pp1s103_81V6.1	PHYPADRAFT_214634
Pp1s103_81V6.2	PHYPADRAFT_214634
Pp1s103_89V6.1	PHYPADRAFT_187298
Pp1s103_90V6.1	PHYPADRAFT_166139
Pp1s103_92V6.1	PHYPADRAFT_133413
Pp1s103_93V6.1	PHYPADRAFT_82460
Pp1s103_94V6.1	PHYPADRAFT_166141
Pp1s103_94V6.2	PHYPADRAFT_166141
Pp1s103_96V6.1	PHYPADRAFT_82463
Pp1s103_99V6.1	PHYPADRAFT_214641
Pp1s10444_1V6.1	PHYPADRAFT_104269
Pp1s10451_2V6.1	PHYPADRAFT_104270
Pp1s104_108V6.1	PHYPADRAFT_214709
Pp1s104_10V6.1	PHYPADRAFT_133582
Pp1s104_110V6.1	PHYPADRAFT_166179
Pp1s104_115V6.1	PHYPADRAFT_133553
Pp1s104_119V6.1	PHYPADRAFT_214713
Pp1s104_11V6.1	PHYPADRAFT_187328
Pp1s104_126V6.1	PHYPADRAFT_47096
Pp1s104_128V6.1	PHYPADRAFT_187381
Pp1s104_12V6.1	PHYPADRAFT_166156,PHYPADRAFT_58415
Pp1s104_132V6.1	PHYPADRAFT_82581
Pp1s104_134V6.1	PHYPADRAFT_133529
Pp1s104_135V6.1	PHYPADRAFT_214723
Pp1s104_135V6.2	PHYPADRAFT_214723
Pp1s104_136V6.1	PHYPADRAFT_82584
Pp1s104_141V6.1	PHYPADRAFT_133550,PHYPADRAFT_133585
Pp1s104_142V6.1	PHYPADRAFT_187389
Pp1s104_147V6.1	PHYPADRAFT_82588
Pp1s104_14V6.1	PHYPADRAFT_166158
Pp1s104_14V6.2	PHYPADRAFT_166158
Pp1s104_156V6.1	PHYPADRAFT_166189
Pp1s104_157V6.1	PHYPADRAFT_214732
Pp1s104_157V6.2	PHYPADRAFT_214732
Pp1s104_158V6.1	PHYPADRAFT_166191
Pp1s104_16V6.1	PHYPADRAFT_82514
Pp1s104_16V6.2	PHYPADRAFT_82514
Pp1s104_16V6.3	PHYPADRAFT_82514
Pp1s104_16V6.4	PHYPADRAFT_82514
Pp1s104_16V6.5	PHYPADRAFT_82514
Pp1s104_175V6.1	PHYPADRAFT_47310
Pp1s104_177V6.1	PHYPADRAFT_82601
Pp1s104_177V6.2	PHYPADRAFT_82601
Pp1s104_177V6.3	PHYPADRAFT_82601
Pp1s104_180V6.1	PHYPADRAFT_82603
Pp1s104_181V6.1	PHYPADRAFT_82603
Pp1s104_182V6.1	PHYPADRAFT_166194
Pp1s104_185V6.1	PHYPADRAFT_82606
