Gene	PN	PP	Total
Pp1s172_24V6.1	85	37	122
Pp1s54_320V6.1	38	84	122
Pp1s126_81V6.1	44	77	121
Pp1s291_43V6.1	64	57	121
Pp1s434_14V6.1	100	21	121
Pp1s12_315V6.1	51	69	120
Pp1s372_60V6.1	47	73	120
Pp1s496_1V6.1	52	68	120
Pp1s14_350V6.1	75	44	119
Pp1s33_7V6.1	48	71	119
Pp1s433_23V6.3	56	63	119
Pp1s81_54V6.1	62	57	119
sp|Q6YXP9|NDHI_PHYPA	63	56	119
Pp1s112_169V6.1	60	58	118
Pp1s162_10V6.1	59	59	118
Pp1s189_99V6.1	60	58	118
Pp1s37_33V6.2	53	65	118
Pp1s104_98V6.1	73	44	117
Pp1s172_23V6.1	62	55	117
Pp1s300_1V6.1	47	69	116
Pp1s628_7V6.1	70	46	116
Pp1s66_172V6.1	105	11	116
Pp1s198_147V6.1	81	34	115
Pp1s20_284V6.1	73	42	115
Pp1s85_19V6.1	43	72	115
Pp1s15_267V6.1	58	56	114
Pp1s198_75V6.1	57	57	114
Pp1s292_64V6.1	76	38	114
Pp1s1_21V6.1	58	55	113
Pp1s22_267V6.1	54	59	113
Pp1s37_35V6.1	90	22	112
Pp1s71_244V6.2	64	48	112
Pp1s1_625V6.1	48	61	109
Pp1s12_401V6.1	34	75	109
Pp1s14_298V6.1	48	60	108
Pp1s146_17V6.1	45	63	108
Pp1s198_154V6.1	106	2	108
Pp1s199_101V6.1	41	67	108
Pp1s63_71V6.1	59	49	108
Pp1s71_187V6.1	48	59	107
Pp1s12_44V6.1	74	32	106
Pp1s132_188V6.2	106		106
Pp1s198_42V6.1	63	43	106
Pp1s336_44V6.1	47	59	106
Pp1s37_298V6.1	55	51	106
Pp1s386_21V6.1	35	71	106
Pp1s190_104V6.1	56	49	105
Pp1s220_79V6.1	104		104
Pp1s61_208V6.1	51	53	104
Pp1s62_157V6.1	46	58	104
Pp1s168_35V6.1	67	36	103
Pp1s23_96V6.1	69	34	103
Pp1s237_59V6.1	42	61	103
Pp1s236_80V6.1	97	5	102
Pp1s70_210V6.1	102	0	102
Pp1s158_109V6.1	55	46	101
Pp1s54_165V6.1	55	46	101
Pp1s106_68V6.1	36	63	99
Pp1s13_392V6.1	70	29	99
Pp1s276_108V6.1	37	62	99
Pp1s44_193V6.1	38	61	99
Pp1s169_50V6.1	39	59	98
Pp1s37_50V6.1	56	42	98
Pp1s156_45V6.1	56	41	97
Pp1s46_69V6.1	51	46	97
Pp1s63_96V6.2	89	8	97
Pp1s152_87V6.1	30	66	96
Pp1s399_19V6.1	96		96
Pp1s59_356V6.1	31	65	96
Pp1s59_73V6.1	53	43	96
Pp1s69_146V6.1	61	35	96
Pp1s139_3V6.1	44	51	95
Pp1s22_322V6.1	94	1	95
Pp1s34_237V6.1	30	65	95
Pp1s129_118V6.1	85	9	94
Pp1s136_198V6.1	37	57	94
Pp1s379_40V6.1	39	55	94
Pp1s479_14V6.1	32	62	94
Pp1s189_19V6.1	56	37	93
Pp1s42_59V6.1	33	60	93
Pp1s43_118V6.1	66	27	93
Pp1s54_216V6.1	46	47	93
Pp1s114_95V6.1	36	56	92
Pp1s198_153V6.2	79	13	92
Pp1s295_46V6.1	38	54	92
Pp1s69_133V6.1	69	23	92
Pp1s2_123V6.1	34	57	91
Pp1s255_17V6.1	75	16	91
Pp1s47_18V6.2	43	48	91
Pp1s5_222V6.1	26	65	91
Pp1s223_50V6.1	52	38	90
Pp1s317_25V6.1	33	57	90
Pp1s160_79V6.1	48	41	89
Pp1s272_32V6.1	36	53	89
Pp1s38_13V6.1	66	23	89
Pp1s45_188V6.1	42	47	89
Pp1s88_182V6.1	44	45	89
Pp1s207_90V6.1	39	49	88
Pp1s251_44V6.1	35	53	88
Pp1s26_209V6.1	57	31	88
Pp1s27_267V6.1	61	27	88
Pp1s244_65V6.2	87		87
Pp1s295_55V6.1	27	60	87
Pp1s48_151V6.1	26	61	87
Pp1s53_212V6.1	28	59	87
Pp1s12_209V6.1	20	66	86
Pp1s13_127V6.2	36	50	86
Pp1s45_164V6.1	39	47	86
Pp1s54_166V6.1	56	30	86
Pp1s66_188V6.1	33	53	86
Pp1s303_24V6.1	51	34	85
Pp1s316_50V6.1	40	45	85
Pp1s45_62V6.1	38	47	85
Pp1s52_248V6.1	30	55	85
Pp1s62_236V6.1	33	52	85
Pp1s115_193V6.1	32	52	84
Pp1s3_514V6.1	37	47	84
Pp1s363_23V6.1	44	40	84
Pp1s9_406V6.1	34	50	84
Pp1s330_9V6.1	36	47	83
Pp1s43_232V6.1	29	54	83
Pp1s68_123V6.1	33	50	83
Pp1s86_22V6.1	76	7	83
Pp1s123_43V6.1	50	32	82
Pp1s140_7V6.1	58	24	82
Pp1s32_312V6.1	37	45	82
Pp1s37_309V6.1	25	57	82
Pp1s38_294V6.1	65	17	82
Pp1s4_215V6.1	33	49	82
Pp1s53_229V6.2	52	30	82
Pp1s69_154V6.1	15	67	82
Pp1s4_321V6.1	40	41	81
Pp1s123_142V6.1	59	21	80
Pp1s15_485V6.1	31	49	80
Pp1s4_490V6.1	45	34	79
Pp1s7_127V6.1	50	29	79
Pp1s34_178V6.1	36	42	78
Pp1s43_48V6.1	31	47	78
Pp1s10_248V6.1	22	55	77
Pp1s134_68V6.1	52	25	77
Pp1s15_393V6.1	34	43	77
Pp1s268_34V6.1	42	35	77
Pp1s347_30V6.1	41	36	77
Pp1s455_2V6.1	31	46	77
Pp1s126_26V6.1	38	38	76
Pp1s181_3V6.1	59	17	76
Pp1s2_217V6.1	65	11	76
Pp1s21_105V6.1	47	29	76
Pp1s230_42V6.1	44	32	76
Pp1s35_234V6.1	49	27	76
Pp1s373_37V6.1	43	33	76
Pp1s75_250V6.2	40	36	76
Pp1s1_230V6.1	26	49	75
Pp1s109_238V6.1	35	40	75
Pp1s136_62V6.1	64	11	75
Pp1s196_76V6.1	33	42	75
Pp1s78_211V6.1	34	41	75
Pp1s78_56V6.1	42	33	75
sp|Q6YXL1|RR8_PHYPA	42	33	75
Pp1s284_7V6.1	28	46	74
Pp1s38_300V6.1	19	55	74
Pp1s43_120V6.1	57	17	74
Pp1s7_458V6.1	34	40	74
Pp1s245_2V6.1	27	46	73
Pp1s91_60V6.1	26	47	73
Pp1s138_83V6.1	42	30	72
Pp1s286_14V6.1	32	40	72
Pp1s30_291V6.1	38	34	72
Pp1s46_326V6.1	33	39	72
Pp1s97_59V6.1	72		72
sp|Q00761|ACCD_PHYPA	50	22	72
Pp1s197_123V6.1	47	24	71
Pp1s37_111V6.2	33	38	71
Pp1s89_87V6.1	45	26	71
Pp1s131_4V6.1	29	41	70
Pp1s156_44V6.1	26	44	70
Pp1s3_572V6.1	27	43	70
Pp1s274_79V6.1	23	46	69
Pp1s293_16V6.1	35	34	69
Pp1s5_369V6.1	24	45	69
Pp1s68_222V6.1	47	22	69
Pp1s75_56V6.1	31	38	69
Pp1s80_60V6.2	33	36	69
Pp1s96_134V6.1	44	25	69
Pp1s10_393V6.1	25	43	68
Pp1s131_184V6.1	37	31	68
Pp1s27_248V6.1	20	48	68
Pp1s283_22V6.1	68		68
Pp1s63_171V6.1	68		68
Pp1s10_252V6.1	36	31	67
Pp1s167_98V6.1	32	35	67
Pp1s332_33V6.1	27	40	67
Pp1s80_119V6.1	29	38	67
Pp1s93_161V6.1	20	47	67
Pp1s101_2V6.1	36	30	66
Pp1s156_111V6.1	36	30	66
Pp1s172_78V6.1	51	15	66
Pp1s134_66V6.1	23	42	65
Pp1s153_72V6.1	27	38	65
Pp1s189_18V6.1	39	26	65
Pp1s429_29V6.1	23	42	65
Pp1s67_179V6.1	54	11	65
Pp1s109_52V6.1	27	37	64
Pp1s19_276V6.1	36	28	64
Pp1s197_146V6.1	27	37	64
Pp1s25_261V6.1	37	27	64
Pp1s26_72V6.1	49	15	64
Pp1s34_442V6.1	64	0	64
Pp1s39_428V6.1	21	43	64
Pp1s42_171V6.1	46	18	64
Pp1s75_41V6.1	20	44	64
Pp1s14_40V6.1	24	39	63
Pp1s372_19V6.1	20	43	63
