Gene	PN	PP	Total
sp|Q6YXK7|RK22_PHYPA	6	3	9
sp|Q6YXM4|RR18_PHYPA	6	3	9
sp|Q6YXP6|RR15_PHYPA	7	2	9
sp|Q6YXQ0|NU6C_PHYPA	6	3	9
Pp1s11_288V6.1	4	4	8
Pp1s110_16V6.1	6	2	8
Pp1s113_159V6.1	8		8
Pp1s113_38V6.1	1	7	8
Pp1s114_48V6.1	8		8
Pp1s116_112V6.1	7	1	8
Pp1s119_14V6.1	7	1	8
Pp1s119_49V6.1	4	4	8
Pp1s12_128V6.1		8	8
Pp1s13_7V6.1	3	5	8
Pp1s134_89V6.1	3	5	8
Pp1s135_33V6.1	8		8
Pp1s138_75V6.1	2	6	8
Pp1s14_36V6.1		8	8
Pp1s146_99V6.1	3	5	8
Pp1s15_183V6.1	8		8
Pp1s158_146V6.1	5	3	8
Pp1s158_18V6.1	8		8
Pp1s167_20V6.1	8		8
Pp1s17_286V6.1	8		8
Pp1s17_377V6.1	8		8
Pp1s18_50V6.1	3	5	8
Pp1s186_65V6.1	5	3	8
Pp1s203_56V6.1	8		8
Pp1s203_65V6.1	4	4	8
Pp1s211_107V6.1	3	5	8
Pp1s215_88V6.1	2	6	8
Pp1s226_50V6.1	5	3	8
Pp1s241_55V6.1	5	3	8
Pp1s243_89V6.1	3	5	8
Pp1s25_63V6.1		8	8
Pp1s3_367V6.1	8		8
Pp1s3_553V6.1	8		8
Pp1s32_160V6.1	5	3	8
Pp1s323_86V6.1	2	6	8
Pp1s339_37V6.1	8		8
Pp1s355_39V6.1	8		8
Pp1s367_2V6.1	8		8
Pp1s372_14V6.1	8	0	8
Pp1s376_53V6.1	8		8
Pp1s38_376V6.1	8		8
Pp1s421_8V6.1	8		8
Pp1s43_124V6.1	5	3	8
Pp1s45_11V6.1	8		8
Pp1s464_17V6.1	7	1	8
Pp1s5_200V6.1	7	1	8
Pp1s54_135V6.1		8	8
Pp1s56_113V6.1	4	4	8
Pp1s57_133V6.1	8		8
Pp1s58_244V6.1	8		8
Pp1s59_311V6.1	8		8
Pp1s61_97V6.1	8		8
Pp1s68_238V6.1	2	6	8
Pp1s7_389V6.1	8		8
Pp1s73_90V6.1	8		8
Pp1s77_67V6.1	2	6	8
Pp1s78_18V6.1	8		8
Pp1s9_355V6.1	8		8
Pp1s9_379V6.1	1	7	8
Pp1s9_39V6.1	4	4	8
Pp1s98_233V6.1	3	5	8
Pp1s98_65V6.1	8		8
REV_Pp1s14_211V6.1	4	4	8
REV_Pp1s2_650V6.1	8		8
sp|Q6YXQ6|NU5C_PHYPA	8	0	8
sp|Q6YXS0|RR7_PHYPA	8		8
tr|Q1XGA5|Q1XGA5_PHYPA	8		8
Pp1s10_183V6.1	7		7
Pp1s101_215V6.1	6	1	7
Pp1s109_70V6.1	7		7
Pp1s111_50V6.1	7		7
Pp1s113_134V6.1	7		7
Pp1s114_203V6.1	4	3	7
Pp1s117_102V6.1	6	1	7
Pp1s124_170V6.1	7		7
Pp1s126_131V6.1	7		7
Pp1s134_119V6.1	3	4	7
Pp1s134_72V6.1	2	5	7
Pp1s136_29V6.1	7		7
Pp1s138_76V6.1	7		7
Pp1s142_89V6.1	2	5	7
Pp1s144_126V6.1	2	5	7
Pp1s15_384V6.1	4	3	7
Pp1s15_397V6.3	2	5	7
Pp1s163_36V6.1	7		7
Pp1s166_97V6.1	4	3	7
Pp1s167_1V6.1	7		7
Pp1s177_18V6.1	2	5	7
Pp1s185_110V6.1	4	3	7
Pp1s191_84V6.1	3	4	7
Pp1s197_25V6.1	7		7
Pp1s204_49V6.1	7		7
Pp1s211_74V6.1	7		7
Pp1s214_36V6.1	7		7
Pp1s219_115V6.1	7		7
Pp1s222_130V6.1	7		7
Pp1s223_70V6.1		7	7
Pp1s224_116V6.1	6	1	7
Pp1s224_1V6.1	7		7
Pp1s23_131V6.1	7		7
Pp1s239_40V6.1	1	6	7
Pp1s243_40V6.1	6	1	7
Pp1s25_202V6.1	4	3	7
Pp1s257_104V6.1	7		7
Pp1s27_198V6.1	3	4	7
Pp1s278_33V6.1	7		7
Pp1s28_399V6.1	3	4	7
Pp1s291_55V6.1	4	3	7
Pp1s300_64V6.1	5	2	7
Pp1s323_3V6.1	4	3	7
Pp1s327_43V6.1	7		7
Pp1s342_35V6.1	7		7
Pp1s348_15V6.1	7		7
Pp1s35_376V6.1	7		7
Pp1s36_84V6.1	7		7
Pp1s38_377V6.1	3	4	7
Pp1s405_6V6.1	3	4	7
Pp1s41_1V6.1	2	5	7
Pp1s414_19V6.1	7		7
Pp1s45_277V6.1	7		7
Pp1s47_21V6.1	4	3	7
Pp1s475_5V6.1	7		7
Pp1s48_255V6.1	7		7
Pp1s48_37V6.2	1	6	7
Pp1s570_1V6.1	7		7
Pp1s58_168V6.1	7		7
Pp1s6_183V6.1	2	5	7
Pp1s64_219V6.1	7		7
Pp1s66_28V6.1	7		7
Pp1s68_169V6.1	3	4	7
Pp1s69_45V6.1	2	5	7
Pp1s7_393V6.1	4	3	7
Pp1s83_145V6.1	7		7
Pp1s83_158V6.1	2	5	7
Pp1s84_153V6.1	7		7
Pp1s86_31V6.1		7	7
Pp1s90_147V6.1	7		7
Pp1s90_85V6.1	7		7
Pp1s94_113V6.1	7		7
Pp1s96_61V6.1	6	1	7
Pp1s99_260V6.1	7		7
REV_Pp1s175_48V6.1	5	2	7
REV_Pp1s33_338V6.1	7		7
REV_Pp1s336_10V6.1	2	5	7
REV_Pp1s351_40V6.1	5	2	7
REV_Pp1s49_167V6.1	3	4	7
REV_tr|A9SBP4|A9SBP4_PHYPA	2	5	7
sp|Q6YXK9|RK16_PHYPA	7	0	7
sp|Q6YXM6|RR12_PHYPA	6	1	7
sp|Q6YXR0|NU3C_PHYPA	5	2	7
sp|Q6YXR9|NU2C_PHYPA	6	1	7
Pp1s10_357V6.1	6		6
Pp1s101_10V6.1	6		6
Pp1s105_42V6.1	6		6
Pp1s123_59V6.1	6		6
Pp1s124_155V6.1	1	5	6
Pp1s127_94V6.1	3	3	6
Pp1s131_123V6.1	6		6
Pp1s143_109V6.1	6		6
Pp1s143_177V6.1	1	5	6
Pp1s147_2V6.1	2	4	6
Pp1s149_35V6.1	6		6
Pp1s15_137V6.1	6		6
Pp1s15_182V6.1	1	5	6
Pp1s150_120V6.1	6		6
Pp1s152_7V6.1	6		6
Pp1s159_160V6.1	6		6
Pp1s16_25V6.1	3	3	6
Pp1s16_337V6.1	5	1	6
Pp1s167_152V6.1	4	2	6
Pp1s174_107V6.1	2	4	6
Pp1s174_62V6.1	5	1	6
Pp1s174_64V6.1	5	1	6
Pp1s178_11V6.1	6		6
Pp1s188_14V6.1	6		6
Pp1s19_279V6.1	6		6
Pp1s192_100V6.1	3	3	6
Pp1s2_290V6.1	6		6
Pp1s2_451V6.1	3	3	6
Pp1s20_191V6.1	4	2	6
Pp1s20_290V6.1	5	1	6
Pp1s201_96V6.1	6	0	6
Pp1s21_138V6.1	2	4	6
Pp1s21_158V6.1	6		6
Pp1s21_344V6.1	6		6
Pp1s21_36V6.1	6		6
Pp1s22_58V6.1	2	4	6
Pp1s234_30V6.1	4	2	6
Pp1s24_104V6.1	1	5	6
Pp1s242_40V6.1	6		6
Pp1s253_40V6.1	2	4	6
Pp1s271_9V6.1	6		6
Pp1s28_124V6.1	6		6
Pp1s283_20V6.1	6		6
Pp1s287_18V6.1	1	5	6
Pp1s289_41V6.1	6		6
Pp1s30_345V6.1	1	5	6
Pp1s307_6V6.1	6		6
Pp1s309_62V6.1	5	1	6
Pp1s31_343V6.1	6		6
Pp1s31_65V6.1	1	5	6
Pp1s317_16V6.1		6	6
Pp1s321_30V6.1	6		6
Pp1s326_44V6.1	6		6
Pp1s332_31V6.1	6		6
Pp1s337_6V6.1	6		6
Pp1s34_112V6.1	1	5	6
Pp1s34_302V6.1	6		6
Pp1s34_379V6.2	4	2	6
Pp1s34_49V6.1	4	2	6
Pp1s341_24V6.1	2	4	6
Pp1s348_23V6.1	4	2	6
Pp1s35_125V6.1	6		6
Pp1s35_49V6.1	2	4	6
Pp1s371_25V6.1	5	1	6
Pp1s377_21V6.1	1	5	6
Pp1s39_380V6.1	2	4	6
Pp1s395_48V6.1	6		6
Pp1s40_48V6.1	6		6
Pp1s407_48V6.1	6		6
Pp1s41_177V6.1	4	2	6
Pp1s42_259V6.1	6		6
Pp1s44_141V6.1	6		6
Pp1s44_41V6.1	6		6
Pp1s450_22V6.1	4	2	6
Pp1s47_291V6.1	6	0	6
Pp1s51_62V6.1	6		6
Pp1s54_55V6.1	5	1	6
Pp1s54_81V6.1	6		6
Pp1s545_10V6.1	1	5	6
Pp1s55_90V6.1	3	3	6
Pp1s56_187V6.1	2	4	6
Pp1s6_159V6.1	6		6
Pp1s61_5V6.1	5	1	6
Pp1s66_291V6.1	4	2	6
Pp1s7_175V6.1	6		6
Pp1s7_390V6.1	6		6
Pp1s70_15V6.1	3	3	6
Pp1s72_148V6.1	2	4	6
Pp1s72_71V6.1	6		6
Pp1s76_190V6.1	6		6
Pp1s76_57V6.1	5	1	6
Pp1s77_252V6.1	1	5	6
Pp1s78_210V6.1	6		6
Pp1s8_193V6.1	1	5	6
Pp1s83_223V6.3	1	5	6
Pp1s84_187V6.1	2	4	6
Pp1s86_189V6.1	6		6
Pp1s9_386V6.1	6		6
Pp1s90_83V6.1	6		6
Pp1s91_107V6.1	6		6
Pp1s97_166V6.1	2	4	6
Pp1s99_42V6.1	1	5	6
REV_Pp1s112_188V6.1	3	3	6
REV_Pp1s53_212V6.1	3	3	6
sp|Q6YXK6|RR19_PHYPA	4	2	6
tr|A9S7Z6|A9S7Z6_PHYPA	2	4	6
Pp1s1_489V6.1	5		5
Pp1s1_526V6.1	5		5
Pp1s1_539V6.1	1	4	5
Pp1s10_9V6.1	5		5
Pp1s100_24V6.1	4	1	5
Pp1s101_218V6.1	5		5
Pp1s101_226V6.1	5		5
Pp1s102_15V6.1	4	1	5
Pp1s104_73V6.1	1	4	5
Pp1s106_67V6.1		5	5
Pp1s109_234V6.1	5		5
Pp1s11_10V6.1	4	1	5
Pp1s114_148V6.1		5	5
Pp1s115_123V6.1	2	3	5
Pp1s122_100V6.1	5		5
Pp1s122_57V6.1	5		5
Pp1s129_115V6.1	1	4	5
Pp1s13_109V6.2	2	3	5
Pp1s13_418V6.1	3	2	5
Pp1s136_70V6.1	5		5
Pp1s140_60V6.1	5		5
Pp1s141_83V6.1	3	2	5
Pp1s142_120V6.1	5		5
Pp1s143_122V6.1	5		5
Pp1s150_29V6.1	2	3	5
Pp1s152_123V6.1	4	1	5
Pp1s153_142V6.1	5		5
Pp1s157_41V6.1	5		5
Pp1s159_155V6.1	4	1	5
Pp1s16_213V6.1	5		5
Pp1s160_82V6.1	1	4	5
Pp1s165_51V6.1	5		5
Pp1s165_65V6.1	5		5
Pp1s17_339V6.1	3	2	5
Pp1s170_48V6.1	1	4	5
Pp1s178_121V6.1	1	4	5
Pp1s183_11V6.2	3	2	5
Pp1s186_60V6.1	5		5
Pp1s197_131V6.1	1	4	5
Pp1s197_20V6.1	5		5
Pp1s2_16V6.1	5		5
Pp1s20_176V6.2	5		5
Pp1s20_237V6.1	2	3	5
Pp1s200_101V6.1	1	4	5
Pp1s21_271V6.1	5		5
Pp1s211_154V6.1		5	5
Pp1s212_114V6.1	1	4	5
Pp1s22_40V6.1	5		5
Pp1s220_23V6.1	4	1	5
Pp1s221_62V6.1	5		5
Pp1s223_23V6.1	5		5
Pp1s224_85V6.1	5		5
Pp1s226_44V6.1	2	3	5
Pp1s233_42V6.1	1	4	5
Pp1s24_26V6.1		5	5
Pp1s244_45V6.1	5		5
Pp1s247_15V6.1	5		5
Pp1s249_55V6.1	5		5
Pp1s254_3V6.2	5		5
Pp1s271_26V6.1		5	5
Pp1s271_35V6.1	1	4	5
Pp1s272_57V6.1	1	4	5
Pp1s275_106V6.1	5		5
Pp1s281_108V6.1	5		5
Pp1s3_23V6.1	5		5
Pp1s31_169V6.1	5		5
Pp1s313_53V6.1	5		5
Pp1s316_69V6.2	1	4	5
Pp1s317_70V6.1	3	2	5
Pp1s318_24V6.1	5		5
Pp1s321_10V6.1	1	4	5
Pp1s321_9V6.1	2	3	5
Pp1s33_197V6.1	1	4	5
Pp1s33_218V6.1	5		5
Pp1s33_221V6.1	2	3	5
Pp1s336_21V6.1	5		5
Pp1s34_11V6.1	5		5
Pp1s34_388V6.1	5		5
Pp1s34_50V6.1	1	4	5
Pp1s35_328V6.1	3	2	5
Pp1s35_68V6.1	2	3	5
Pp1s353_41V6.1	5	0	5
Pp1s355_8V6.1	1	4	5
Pp1s36_150V6.1	5		5
Pp1s365_30V6.1	5		5
Pp1s370_60V6.1	2	3	5
Pp1s371_34V6.1	5		5
Pp1s383_18V6.1	5		5
Pp1s398_18V6.1	5		5
Pp1s4_493V6.1	5		5
Pp1s4_62V6.1	5	0	5
Pp1s40_190V6.1	5		5
Pp1s40_195V6.1	5	0	5
Pp1s408_23V6.1	3	2	5
Pp1s409_2V6.1	5		5
Pp1s41_155V6.3	2	3	5
Pp1s411_3V6.1	1	4	5
Pp1s412_17V6.1	3	2	5
Pp1s42_128V6.2	5		5
Pp1s43_166V6.1	5		5
Pp1s456_27V6.1	3	2	5
Pp1s46_76V6.1	5		5
Pp1s466_13V6.1	5		5
Pp1s47_196V6.1	5		5
Pp1s49_154V6.1	3	2	5
Pp1s5_216V6.1	5		5
Pp1s5_305V6.1	5		5
Pp1s52_69V6.1	4	1	5
Pp1s54_148V6.1	5		5
Pp1s59_111V6.1	5		5
Pp1s59_321V6.1	5		5
Pp1s59_51V6.1	5		5
Pp1s6_132V6.1	1	4	5
Pp1s60_199V6.1	5		5
Pp1s61_37V6.1	5		5
Pp1s65_153V6.1	5		5
Pp1s65_226V6.1	5		5
Pp1s68_12V6.1	5		5
Pp1s7_156V6.1	5		5
Pp1s71_61V6.1	4	1	5
Pp1s73_244V6.1	5		5
Pp1s83_168V6.1	5	0	5
Pp1s83_184V6.1	3	2	5
Pp1s87_171V6.1	5		5
Pp1s91_124V6.1	5		5
Pp1s96_30V6.1	5		5
Pp1s98_145V6.1	4	1	5
REV_Pp1s158_117V6.1	5		5
REV_Pp1s256_10V6.1	4	1	5
REV_Pp1s26_172V6.1	2	3	5
REV_Pp1s376_53V6.1	0	5	5
REV_tr|A9SWC3|A9SWC3_PHYPA	1	4	5
tr|A9RPV0|A9RPV0_PHYPA	5		5
Pp1s101_182V6.1	4		4
Pp1s103_65V6.1	4		4
Pp1s104_156V6.1	4		4
Pp1s106_74V6.1	3	1	4
Pp1s111_143V6.1	4		4
Pp1s113_88V6.1		4	4
Pp1s114_172V6.1	3	1	4
Pp1s114_79V6.1	4		4
Pp1s115_90V6.1	3	1	4
Pp1s116_13V6.1	4		4
Pp1s116_54V6.1	4		4
Pp1s123_141V6.1	4		4
Pp1s128_154V6.1	1	3	4
Pp1s128_58V6.1	4		4
Pp1s13_419V6.1	4		4
Pp1s130_298V6.1	4		4
Pp1s131_197V6.1	1	3	4
Pp1s135_112V6.1	1	3	4
Pp1s139_88V6.1	4		4
Pp1s143_11V6.1	1	3	4
Pp1s144_51V6.1	4		4
Pp1s148_87V6.1	4		4
Pp1s149_288V6.1	4		4
Pp1s15_14V6.1	4		4
Pp1s15_401V6.1		4	4
Pp1s15_404V6.1	1	3	4
Pp1s16_230V6.1	4		4
Pp1s16_327V6.1	1	3	4
Pp1s165_12V6.1	4		4
Pp1s167_19V6.1	4		4
Pp1s168_84V6.1	4		4
Pp1s169_150V6.1	4		4
Pp1s169_153V6.1	4		4
Pp1s169_19V6.1	4		4
Pp1s17_312V6.1	3	1	4
Pp1s173_154V6.1	3	1	4
Pp1s175_128V6.1	1	3	4
Pp1s175_19V6.1	4		4
Pp1s18_113V6.1	4		4
Pp1s18_121V6.1	4		4
Pp1s18_265V6.1	4		4
Pp1s181_13V6.1	1	3	4
Pp1s189_20V6.1		4	4
Pp1s19_232V6.1	1	3	4
Pp1s191_67V6.1	1	3	4
Pp1s192_94V6.2	4		4
Pp1s194_167V6.1	1	3	4
Pp1s198_140V6.1		4	4
Pp1s199_88V6.1	4		4
Pp1s2_655V6.1	4		4
Pp1s20_77V6.1	4		4
Pp1s201_109V6.1	4		4
Pp1s21_362V6.1	4		4
Pp1s212_55V6.1	2	2	4
Pp1s215_6V6.1	3	1	4
Pp1s219_73V6.1	4		4
Pp1s225_89V6.1	2	2	4
Pp1s226_3V6.1	4		4
Pp1s23_281V6.1	1	3	4
Pp1s23_38V6.3	2	2	4
Pp1s237_60V6.1	4		4
Pp1s24_194V6.1	4		4
Pp1s241_91V6.1	4		4
Pp1s247_51V6.1	4		4
Pp1s253_21V6.1	4		4
Pp1s257_95V6.1	4		4
Pp1s26_115V6.1	4		4
Pp1s26_37V6.1	4		4
Pp1s263_72V6.1	1	3	4
Pp1s264_34V6.1	4		4
Pp1s267_89V6.1	4		4
Pp1s269_14V6.1	4		4
Pp1s271_81V6.1	4		4
Pp1s277_37V6.1	4		4
Pp1s277_77V6.1	4		4
Pp1s28_171V6.1	4		4
Pp1s29_267V6.1	2	2	4
Pp1s29_54V6.1	4		4
Pp1s3_238V6.1	3	1	4
Pp1s3_358V6.1	4		4
Pp1s300_26V6.1	4		4
Pp1s301_40V6.1	1	3	4
Pp1s31_392V6.1	4		4
Pp1s317_19V6.2	1	3	4
Pp1s32_57V6.1	4		4
Pp1s336_26V6.1	4		4
Pp1s34_241V6.1	4		4
Pp1s343_44V6.1	4		4
Pp1s35_209V6.1	4		4
Pp1s378_11V6.1	4		4
Pp1s38_243V6.1	4		4
Pp1s382_19V6.1	4		4
Pp1s386_10V6.1	1	3	4
Pp1s389_49V6.1	4		4
Pp1s39_108V6.1	4		4
Pp1s4_282V6.1	4		4
Pp1s409_51V6.1		4	4
Pp1s41_41V6.1	4		4
Pp1s411_25V6.1	4		4
Pp1s419_36V6.2	4		4
Pp1s429_1V6.1	2	2	4
Pp1s431_3V6.1	4		4
Pp1s456_22V6.1	4		4
Pp1s456_23V6.1	2	2	4
Pp1s464_11V6.1	4		4
Pp1s468_18V6.1		4	4
Pp1s53_111V6.1		4	4
Pp1s53_223V6.1	3	1	4
Pp1s54_186V6.2	4		4
Pp1s55_292V6.1	3	1	4
Pp1s56_236V6.1	4		4
Pp1s568_5V6.1	3	1	4
Pp1s58_149V6.1	4		4
Pp1s58_81V6.1	4		4
Pp1s6_143V6.1	4		4
Pp1s61_112V6.1	1	3	4
Pp1s66_45V6.1	2	2	4
Pp1s67_172V6.1	4		4
Pp1s67_235V6.1	2	2	4
Pp1s68_239V6.1		4	4
Pp1s7_73V6.1	4		4
Pp1s70_122V6.1	4		4
Pp1s73_28V6.1	4		4
Pp1s73_47V6.1	4		4
Pp1s78_7V6.1	4		4
Pp1s80_110V6.1	4		4
Pp1s81_246V6.1	4		4
Pp1s81_250V6.1		4	4
Pp1s83_160V6.1		4	4
Pp1s88_195V6.1	4		4
Pp1s89_56V6.1	2	2	4
Pp1s9_109V6.1	4		4
Pp1s9_137V6.1	4		4
Pp1s9_232V6.1		4	4
Pp1s93_52V6.1	3	1	4
REV_Pp1s79_98V6.1	2	2	4
REV_Pp1s80_200V6.1	3	1	4
sp|Q6YXM5|RK20_PHYPA	3	1	4
tr|A9RBY6|A9RBY6_PHYPA	2	2	4
tr|A9SJH2|A9SJH2_PHYPA	4		4
tr|A9TWG9|A9TWG9_PHYPA		4	4
tr|Q1XGA9|Q1XGA9_PHYPA	3	1	4
Pp1s1_168V6.1	3		3
Pp1s1_405V6.1	3		3
Pp1s1_544V6.1	2	1	3
Pp1s1_5V6.2	1	2	3
Pp1s1_815V6.1	3		3
Pp1s10_139V6.1		3	3
Pp1s10_175V6.1	3		3
Pp1s10_210V6.1	3		3
Pp1s10_296V6.1	3		3
Pp1s101_102V6.2	3		3
Pp1s101_74V6.1	3		3
Pp1s102_14V6.1	1	2	3
Pp1s102_88V6.1	1	2	3
Pp1s104_141V6.1	1	2	3
Pp1s107_181V6.1	3		3
Pp1s109_127V6.1	3		3
Pp1s11_55V6.1	3		3
Pp1s112_162V6.1	3		3
Pp1s113_200V6.1	3		3
Pp1s1139_3V6.1		3	3
Pp1s12_415V6.1	3		3
Pp1s12_77V6.1	3		3
Pp1s122_25V6.1	3		3
Pp1s123_47V6.1		3	3
Pp1s123_58V6.1	3		3
Pp1s125_34V6.1	3		3
Pp1s126_190V6.1	3		3
Pp1s126_63V6.1	3		3
Pp1s128_2V6.1	2	1	3
Pp1s132_62V6.1		3	3
Pp1s135_126V6.1	3		3
Pp1s136_73V6.1	3		3
Pp1s139_74V6.1	3	0	3
Pp1s14_237V6.1	3		3
Pp1s14_33V6.1	3		3
Pp1s142_105V6.1	2	1	3
Pp1s146_96V6.1	3		3
Pp1s149_229V6.1	3		3
Pp1s149_31V6.1	2	1	3
Pp1s149_77V6.1	3		3
Pp1s15_423V6.1	3		3
Pp1s152_13V6.1	3		3
Pp1s156_108V6.1	3		3
Pp1s156_53V6.1	3		3
Pp1s156_60V6.1		3	3
Pp1s162_143V6.1	0	3	3
Pp1s162_150V6.1	3		3
Pp1s165_105V6.1	3		3
Pp1s167_18V6.1	2	1	3
Pp1s173_63V6.1	1	2	3
Pp1s174_37V6.1	3		3
Pp1s175_68V6.1	3		3
Pp1s18_148V6.1	1	2	3
Pp1s18_19V6.1	3		3
Pp1s18_287V6.1	3		3
Pp1s18_326V6.1		3	3
Pp1s184_139V6.1	3		3
Pp1s184_48V6.1	1	2	3
Pp1s185_7V6.1	3		3
Pp1s197_114V6.1	3		3
Pp1s198_60V6.1	1	2	3
Pp1s198_61V6.1	3		3
Pp1s2_216V6.1	3		3
Pp1s20_112V6.1		3	3
Pp1s20_305V6.1	3		3
Pp1s20_372V6.1	2	1	3
Pp1s200_23V6.1	2	1	3
Pp1s200_25V6.1	3		3
Pp1s201_11V6.1	3		3
Pp1s206_51V6.1		3	3
Pp1s207_12V6.1	3	0	3
Pp1s207_28V6.1	3		3
Pp1s209_59V6.1		3	3
Pp1s21_259V6.1	3		3
Pp1s21_298V6.1	2	1	3
Pp1s21_361V6.1	3		3
Pp1s21_387V6.1	1	2	3
Pp1s215_25V6.1	3		3
Pp1s215_5V6.1	3		3
Pp1s218_122V6.1	2	1	3
Pp1s218_59V6.1	2	1	3
Pp1s22_76V6.1	3		3
Pp1s223_13V6.1	0	3	3
Pp1s23_109V6.1		3	3
Pp1s236_48V6.1	3		3
Pp1s24_182V6.1	3		3
Pp1s24_200V6.1	1	2	3
Pp1s241_62V6.1	3		3
Pp1s244_11V6.1	3		3
Pp1s245_12V6.1	3		3
Pp1s246_147V6.1	1	2	3
Pp1s25_361V6.1	3		3
Pp1s255_41V6.1	3		3
Pp1s257_40V6.1	3		3
Pp1s258_52V6.1	3		3
Pp1s259_87V6.1	3		3
Pp1s266_65V6.1		3	3
Pp1s269_44V6.1	3		3
Pp1s27_149V6.1	3		3
Pp1s27_195V6.1	3		3
Pp1s271_27V6.1	3		3
Pp1s271_49V6.1	3		3
Pp1s273_45V6.1		3	3
Pp1s275_62V6.1	3		3
Pp1s28_131V6.1	3		3
Pp1s28_321V6.1	3		3
Pp1s284_20V6.1	2	1	3
Pp1s286_5V6.1		3	3
Pp1s290_44V6.1	3		3
Pp1s291_62V6.1	3		3
Pp1s30_190V6.1	3		3
Pp1s300_55V6.1	1	2	3
Pp1s301_54V6.1	3		3
Pp1s307_63V6.1	3		3
Pp1s310_3V6.1	3		3
Pp1s312_76V6.1	3		3
Pp1s323_28V6.1	1	2	3
Pp1s33_127V6.1	2	1	3
Pp1s33_278V6.1	3	0	3
Pp1s34_174V6.1	3		3
Pp1s34_256V6.1	3		3
Pp1s36_158V6.1	1	2	3
Pp1s36_1V6.1	1	2	3
Pp1s36_225V6.1		3	3
Pp1s37_304V6.1	3		3
Pp1s38_226V6.1	2	1	3
Pp1s38_249V6.2	1	2	3
Pp1s382_20V6.1		3	3
Pp1s387_48V6.1	2	1	3
Pp1s39_149V6.1	3		3
Pp1s39_197V6.1	3		3
Pp1s39_248V6.1	3		3
Pp1s391_44V6.1	3		3
Pp1s4_21V6.1	3		3
Pp1s40_134V6.1	3		3
Pp1s40_305V6.1	3		3
Pp1s401_23V6.1	3		3
Pp1s407_41V6.1	3		3
Pp1s407_46V6.1	3	0	3
Pp1s41_175V6.1	3		3
Pp1s41_17V6.1	3		3
Pp1s41_235V6.1	2	1	3
Pp1s41_314V6.1	1	2	3
Pp1s42_258V6.1	3		3
Pp1s426_2V6.1	3		3
Pp1s44_132V6.1	2	1	3
Pp1s45_191V6.1	3		3
Pp1s456_28V6.1	3		3
Pp1s46_42V6.1		3	3
Pp1s47_1V6.1	2	1	3
Pp1s47_276V6.1	3		3
Pp1s47_97V6.1	3		3
Pp1s488_21V6.1	3		3
Pp1s49_103V6.1	3		3
Pp1s49_57V6.1	3		3
Pp1s5_15V6.1	2	1	3
Pp1s5_281V6.1	3		3
Pp1s5_92V6.1	2	1	3
Pp1s505_8V6.1	3		3
Pp1s51_319V6.1	3		3
Pp1s517_1V6.1	3	0	3
Pp1s519_7V6.1	3		3
Pp1s52_261V6.1	3		3
Pp1s54_149V6.1	3		3
Pp1s54_273V6.1	3		3
Pp1s55_319V6.1	3		3
Pp1s55_93V6.1	3		3
Pp1s56_240V6.1		3	3
Pp1s57_70V6.1	3		3
Pp1s58_224V6.1	3		3
Pp1s58_72V6.1		3	3
Pp1s6_153V6.1	3		3
Pp1s60_227V6.1	3		3
Pp1s60_307V6.1	3		3
Pp1s61_208V6.2	3		3
Pp1s63_99V6.1	3		3
Pp1s65_314V6.1	3		3
Pp1s68_249V6.1	1	2	3
Pp1s7_123V6.1	3		3
Pp1s7_155V6.1	2	1	3
Pp1s7_307V6.1	3		3
Pp1s7_394V6.1	3		3
Pp1s7_501V6.1	3		3
Pp1s74_120V6.1	3		3
Pp1s74_251V6.1	3		3
Pp1s75_107V6.1	3		3
Pp1s76_197V6.1	3		3
Pp1s77_225V6.1	1	2	3
Pp1s79_272V6.1	2	1	3
Pp1s79_54V6.1	3		3
Pp1s80_180V6.1	3		3
Pp1s80_64V6.1	3		3
Pp1s81_151V6.1	3		3
Pp1s81_153V6.1	3		3
Pp1s81_36V6.1	3		3
Pp1s82_113V6.1	2	1	3
Pp1s83_192V6.1	3		3
Pp1s83_72V6.1	1	2	3
Pp1s84_125V6.1	3		3
Pp1s86_201V6.2	3		3
Pp1s86_232V6.1	3		3
Pp1s88_63V6.1	2	1	3
Pp1s89_23V6.1	2	1	3
Pp1s9_350V6.1	1	2	3
Pp1s91_57V6.1	1	2	3
Pp1s92_84V6.1	3		3
Pp1s96_115V6.1	3		3
REV_Pp1s100_68V6.1	1	2	3
REV_Pp1s106_65V6.1	1	2	3
REV_Pp1s158_147V6.1	1	2	3
REV_Pp1s16_334V6.1	3	0	3
REV_Pp1s160_45V6.1	3		3
REV_Pp1s236_42V6.1	2	1	3
REV_Pp1s24_145V6.1	2	1	3
REV_Pp1s240_95V6.1	3		3
REV_Pp1s358_6V6.1	2	1	3
REV_Pp1s45_270V6.1	2	1	3
REV_Pp1s51_133V6.1	3	0	3
REV_Pp1s54_25V6.1		3	3
REV_Pp1s90_174V6.1	3	0	3
REV_tr|A9RC63|A9RC63_PHYPA		3	3
REV_tr|A9TLB6|A9TLB6_PHYPA	3	0	3
tr|A9REY0|A9REY0_PHYPA		3	3
tr|A9TB97|A9TB97_PHYPA		3	3
tr|Q1XG99|Q1XG99_PHYPA	3		3
Pp1s1_300V6.1	2		2
Pp1s1_315V6.1	2		2
Pp1s1_543V6.1	2		2
Pp1s10_171V6.1	2		2
Pp1s10_245V6.1		2	2
Pp1s10_315V6.1	2		2
