accession	annotator_id	csid	date	value	source
Pp1s39_349V6.1	zimmer	285	2012-01-19 15:46:49	CHS4	
Pp1s292_1V6.1	zimmer	285	2012-01-19 15:45:02	CHS3.3	
Pp1s303_8V6.1	zimmer	285	2012-01-19 15:37:04	PpCHS3.2	
Pp1s303_6V6.1	zimmer	285	2012-01-19 15:28:30	CHS3.1	
Pp1s1_12V6.1	zimmer	285	2012-01-19 12:40:25	CHS2c	
Pp1s463_13V6.1	zimmer	285	2012-01-19 12:23:48	CHS2b.1	
Pp1s463_8V6.1	zimmer	285	2012-01-19 12:21:06	CHS2a	
Pp1s426_47V6.1	zimmer	285	2012-01-19 12:19:14	CHS1c	
Pp1s500_3V6.1	zimmer	285	2012-01-19 12:17:41	CHS1a	
Pp1s22_4V6.1	zimmer	285	2012-01-19 12:16:08	CHS01	
Pp1s33_43V6.1	oesterle	284	2012-01-11 14:25:37	POT1	
Pp1s219_52V6.1	zimmer	274	2012-01-09 11:03:33	NBS1	
Pp1s51_220V6.1	zimmer	228	2012-01-09 10:45:45	RAD50	
Pp1s51_220V6.1	zimmer	274	2012-01-09 10:45:45	RAD50	
Pp1s18_235V6.1	zimmer	274	2012-01-09 10:31:39	MRE11	
Pp1s134_4V6.1	oesterle	273	2011-12-19 14:07:04	CYP78A28	
Pp1s504_4V6.1	oesterle	273	2011-12-19 14:02:20	CYP78A27	
Pp1s218_59V6.1	oesterle	272	2011-12-13 17:40:58	OST1-1	
Pp1s238_71V6.1	oesterle	271	2011-12-12 17:00:08	GAMYB2	
Pp1s66_200V6.1	oesterle	271	2011-12-12 16:51:36	GAMYB1	
Pp1s74_39V6.1	oesterle	270	2011-12-12 15:58:04	AIP1	
Pp1s173_19V6.1	zimmer		2011-09-21 16:12:46	DEK1	
Pp1s14_419V6.1	zimmer	265	2011-09-09 15:38:35	CCD8	
Pp1s14_421V6.1	zimmer	265	2011-09-09 15:38:02	CCD7	
Pp1s21_151V6.1	zimmer	261	2011-09-08 08:58:14	MurG transferase	
Pp1s100_219V6.1	zimmer	261	2011-09-08 08:47:11	MurA transferase2	
Pp1s1_207V6.1	zimmer	260	2011-09-07 16:35:03	AOC2	
Pp1s378_11V6.1	zimmer	260	2011-09-07 16:34:20	AOC1	
Pp1s186_64V6.1	zimmer	258	2011-08-10 16:10:38	PPR_71	
Pp1s543_6V6.1	zimmer	258	2011-08-10 16:07:53	PPR_45	
Pp1s446_7V6.1	zimmer	258	2011-08-10 16:07:05	PPR_43	
Pp1s276_42V6.1	zimmer	258	2011-08-10 16:06:24	PPR_98	
Pp1s13_264V6.1	zimmer	258	2011-08-10 16:05:24	PPR_65	
Pp1s68_207V6.1	zimmer	259	2011-08-10 16:01:40	PPR_91	
Pp1s208_104V6.1	zimmer	259	2011-08-10 15:57:46	PPR_56	
Pp1s169_110V6.1	zimmer	259	2011-08-10 15:53:07	PPR_77	
Pp1s183_52V6.1	zimmer	258	2011-08-10 15:49:20	PPR_78	
Pp1s48_253V6.1	zimmer	257	2011-08-10 15:38:14	PPR_71	
Pp1s84_14V6.1	zimmer	254	2011-08-03 09:19:56	RSL2	
Pp1s147_136V6.1	zimmer	254	2011-08-03 08:52:52	RSL1	
Pp1s20_271V6.1	zimmer		2011-07-28 11:57:40	DAWDLE	
Pp1s265_34V6.1	zimmer	251	2011-04-20 09:10:38	DRP5B-1	
Pp1s304_66V6.1	zimmer	251	2011-04-20 09:08:04	DRP5B-2	
Pp1s38_282V6.1	zimmer	251	2011-04-20 09:06:30	DRP5B-3	
Pp1s27_97V6.1	lang	69	2011-03-28 11:27:09	LHCB2	
Pp1s168_54V6.1	zimmer	250	2011-02-03 16:49:07	XTH10	
Pp1s168_29V6.1	zimmer	250	2011-02-03 16:47:44	XTH13	
Pp1s156_85V6.1	zimmer	250	2011-02-03 16:45:20	XTH25	
Pp1s141_131V6.1	zimmer	250	2011-02-03 16:44:28	XTH28	
Pp1s122_57V6.1	zimmer	250	2011-02-03 16:39:41	XTH23	
Pp1s11_339V6.1	zimmer	250	2011-02-03 16:37:35	XTH4	
Pp1s198_157V6.3	zimmer	207	2010-11-11 21:06:51	Act3	
Pp1s198_157V6.2	zimmer	207	2010-11-11 21:06:05	Act3	
Pp1s381_18V6.2	zimmer	207	2010-11-11 21:02:09	Act5	
Pp1s381_18V6.1	zimmer	207	2010-11-11 16:15:14	Act5	
Pp1s198_157V6.1	zimmer	207	2010-11-11 16:13:48	Act3	
Pp1s31_236V6.1	lang	204	2010-09-28 15:54:41	RAD51A	
Pp1s31_236V6.1	lang	353	2010-09-28 15:54:41	RAD51A	
Pp1s64_135V6.1	patil		2010-09-23 12:52:38	PPIPT4	
Pp1s14_391V6.1	patil	235	2010-09-23 12:23:23	PPIPT5	
Pp1s44_135V6.1	lloyd		2010-09-22 16:07:10	UPF1a	
Pp1s10_103V6.1	lloyd		2010-09-22 15:47:44	UPF1b	
Pp1s123_14V6.1	lloyd		2010-09-17 13:32:12	UPF2	
Pp1s186_25V6.2	lang	69	2010-09-16 18:35:45	LHCB1N6.1	
Pp1s186_26V6.1	lang	69	2010-09-16 18:28:23	LHCB1N6.2	
Pp1s100_146V6.1	ohad	244	2010-09-15 15:20:08	CLF	
Pp1s117_71V6.1	yaari		2010-09-15 15:14:43	CMT	
Pp1s118_9V6.1	symeonidi	242	2010-09-15 15:12:39	SBP1	
Pp1s118_9V6.1	symeonidi	355	2010-09-15 15:12:39	SBP1	
Pp1s535_6V6.1	ohad		2010-09-15 14:25:30	FIE	
Pp1s21_228V6.1	abdallah		2010-09-14 14:33:57	HSP90 like protein	
Pp1s273_51V6.1	barker		2010-09-14 14:18:00	PPMA12	
Pp1s495_5V6.1	student	209	2010-09-13 12:52:32	RDR6	
Pp1s42_140V6.1	student	353	2010-09-13 12:18:25	RAD51B	
PhpafMp01	cosmoss		2010-09-08 20:09:45	COX1	gb|NC_007945
PhpafMp02	cosmoss		2010-09-08 20:09:45	ORF622	gb|NC_007945
PhpafMp03	cosmoss		2010-09-08 20:09:45	ATP4	gb|NC_007945
PhpafMp04	cosmoss		2010-09-08 20:09:45	ATP8	gb|NC_007945
PhpafMp05	cosmoss		2010-09-08 20:09:45	RPS1	gb|NC_007945
PhpafMp06	cosmoss		2010-09-08 20:09:45	RPS2	gb|NC_007945
PhpafMp07	cosmoss		2010-09-08 20:09:45	CCMB	gb|NC_007945
PhpafMp08	cosmoss		2010-09-08 20:09:45	CCMC	gb|NC_007945
PhpafMp09	cosmoss		2010-09-08 20:09:45	CCMFN	gb|NC_007945
PhpafMp10	cosmoss		2010-09-08 20:09:45	CCMF	gb|NC_007945
PhpafMp11	cosmoss		2010-09-08 20:09:45	RPS4	gb|NC_007945
PhpafMp12	cosmoss		2010-09-08 20:09:45	TATC	gb|NC_007945
PhpafMp13	cosmoss		2010-09-08 20:09:45	NAD4L	gb|NC_007945
PhpafMp14	cosmoss		2010-09-08 20:09:45	SDH4	gb|NC_007945
PhpafMp15	cosmoss		2010-09-08 20:09:45	SDH3	gb|NC_007945
PhpafMp16	cosmoss		2010-09-08 20:09:45	ORF187	gb|NC_007945
PhpafMp17	cosmoss		2010-09-08 20:09:45	NAD5	gb|NC_007945
PhpafMp18	cosmoss		2010-09-08 20:09:45	ORF533	gb|NC_007945
PhpafMp19	cosmoss		2010-09-08 20:09:45	NAD4	gb|NC_007945
PhpafMp20	cosmoss		2010-09-08 20:09:45	NAD2	gb|NC_007945
PhpafMp21	cosmoss		2010-09-08 20:09:45	RPS12	gb|NC_007945
PhpafMp22	cosmoss		2010-09-08 20:09:45	RPS7	gb|NC_007945
PhpafMp23	cosmoss		2010-09-08 20:09:45	ATP6	gb|NC_007945
PhpafMp24	cosmoss		2010-09-08 20:09:45	NAD6	gb|NC_007945
PhpafMp25	cosmoss		2010-09-08 20:09:45	COX2	gb|NC_007945
PhpafMp26	cosmoss		2010-09-08 20:09:45	COX3	gb|NC_007945
PhpafMp27	cosmoss		2010-09-08 20:09:45	NAD1	gb|NC_007945
PhpafMp28	cosmoss		2010-09-08 20:09:45	COB	gb|NC_007945
PhpafMp29	cosmoss		2010-09-08 20:09:45	NAD9	gb|NC_007945
PhpafMp30	cosmoss		2010-09-08 20:09:45	ATP1	gb|NC_007945
PhpafMp31	cosmoss		2010-09-08 20:09:45	NAD3	gb|NC_007945
PhpafMp32	cosmoss		2010-09-08 20:09:45	NAD7	gb|NC_007945
PhpafMp33	cosmoss		2010-09-08 20:09:45	RPL2	gb|NC_007945
PhpafMp34	cosmoss		2010-09-08 20:09:45	RPS19	gb|NC_007945
PhpafMp35	cosmoss		2010-09-08 20:09:45	RPS3	gb|NC_007945
PhpafMp36	cosmoss		2010-09-08 20:09:45	RPL16	gb|NC_007945
PhpafMp37	cosmoss		2010-09-08 20:09:45	RPL5	gb|NC_007945
PhpafMp38	cosmoss		2010-09-08 20:09:45	RPS14	gb|NC_007945
PhpafMp39	cosmoss		2010-09-08 20:09:45	RPL6	gb|NC_007945
PhpafMp40	cosmoss		2010-09-08 20:09:45	RPS13	gb|NC_007945
PhpafMp41	cosmoss		2010-09-08 20:09:45	RPS11	gb|NC_007945
PhpafMp42	cosmoss		2010-09-08 20:09:45	ATP9	gb|NC_007945
PhpapaCp001	cosmoss		2010-09-08 20:09:45	RPS12	gb|NC_005087
PhpapaCp002	cosmoss		2010-09-08 20:09:45	RPS7	gb|NC_005087
PhpapaCp003	cosmoss		2010-09-08 20:09:45	NDHB	gb|NC_005087
PhpapaCp004	cosmoss		2010-09-08 20:09:45	PSBM	gb|NC_005087
PhpapaCp005	cosmoss		2010-09-08 20:09:45	YCF66	gb|NC_005087
PhpapaCp006	cosmoss		2010-09-08 20:09:45	PETN	gb|NC_005087
PhpapaCp007	cosmoss		2010-09-08 20:09:45	PETD	gb|NC_005087
PhpapaCp008	cosmoss		2010-09-08 20:09:45	PETB	gb|NC_005087
PhpapaCp009	cosmoss		2010-09-08 20:09:45	PSBH	gb|NC_005087
PhpapaCp010	cosmoss		2010-09-08 20:09:45	PSBN	gb|NC_005087
PhpapaCp011	cosmoss		2010-09-08 20:09:45	PSBT	gb|NC_005087
PhpapaCp012	cosmoss		2010-09-08 20:09:45	PSBB	gb|NC_005087
PhpapaCp013	cosmoss		2010-09-08 20:09:45	CLPP	gb|NC_005087
PhpapaCp014	cosmoss		2010-09-08 20:09:45	RPL20	gb|NC_005087
PhpapaCp015	cosmoss		2010-09-08 20:09:45	RPS18	gb|NC_005087
PhpapaCp016	cosmoss		2010-09-08 20:09:45	RPL33	gb|NC_005087
PhpapaCp017	cosmoss		2010-09-08 20:09:45	PSAJ	gb|NC_005087
PhpapaCp018	cosmoss		2010-09-08 20:09:45	PETG	gb|NC_005087
PhpapaCp019	cosmoss		2010-09-08 20:09:45	PETL	gb|NC_005087
PhpapaCp020	cosmoss		2010-09-08 20:09:45	PSBE	gb|NC_005087
PhpapaCp021	cosmoss		2010-09-08 20:09:45	PSBF	gb|NC_005087
PhpapaCp022	cosmoss		2010-09-08 20:09:45	PSBL	gb|NC_005087
PhpapaCp023	cosmoss		2010-09-08 20:09:45	PSBJ	gb|NC_005087
PhpapaCp024	cosmoss		2010-09-08 20:09:45	ORF40	gb|NC_005087
PhpapaCp025	cosmoss		2010-09-08 20:09:45	ORF197	gb|NC_005087
PhpapaCp026	cosmoss		2010-09-08 20:09:45	PETA	gb|NC_005087
PhpapaCp027	cosmoss		2010-09-08 20:09:45	CEMA	gb|NC_005087
PhpapaCp028	cosmoss		2010-09-08 20:09:45	YCF4	gb|NC_005087
PhpapaCp029	cosmoss		2010-09-08 20:09:45	PSAI	gb|NC_005087
PhpapaCp030	cosmoss		2010-09-08 20:09:45	ACCD	gb|NC_005087
PhpapaCp031	cosmoss		2010-09-08 20:09:45	RBCL	gb|NC_005087
PhpapaCp032	cosmoss		2010-09-08 20:09:45	ATPB	gb|NC_005087
PhpapaCp033	cosmoss		2010-09-08 20:09:45	ATPE	gb|NC_005087
PhpapaCp034	cosmoss		2010-09-08 20:09:45	NDHC	gb|NC_005087
PhpapaCp035	cosmoss		2010-09-08 20:09:45	NDHK	gb|NC_005087
PhpapaCp036	cosmoss		2010-09-08 20:09:45	NDHJ	gb|NC_005087
